"Compound"	"Slope"	"Y.Intercept"	"Peak.start"	"Peak.end"	"my.detector"
"Butyrate"	0.032684892587012	-0.165846868538049	24.5	26.5	"SPD-20A 210nm"
"Butanol"	0.02426166346321	0.0124907282264293	43.8	46	"RID-10A"
"Acetone"	0.080607331012996	0.681070017881806	25.7	27	"SPD-20A 260nm"
