"","Minutes","Intensity","Sample"
"285","2.3673712414409",-2.244,"B1"
"286","2.37570705567133",-2.205,"B1"
"287","2.38404286990176",-2.197,"B1"
"288","2.39237868413218",-2.149,"B1"
"289","2.40071449836261",-2.113,"B1"
"290","2.40905031259303",-2.09,"B1"
"291","2.41738612682346",-2.055,"B1"
"292","2.42572194105389",-2.027,"B1"
"293","2.43405775528431",-2.049,"B1"
"294","2.44239356951474",-2.025,"B1"
"295","2.45072938374516",-2.04,"B1"
"296","2.45906519797559",-2.057,"B1"
"297","2.46740101220601",-2.095,"B1"
"298","2.47573682643644",-2.086,"B1"
"299","2.48407264066687",-1.969,"B1"
"300","2.49240845489729",-1.869,"B1"
"301","2.50074426912772",-1.849,"B1"
"302","2.50908008335814",-1.787,"B1"
"303","2.51741589758857",-1.704,"B1"
"304","2.52575171181899",-1.689,"B1"
"305","2.53408752604942",-1.684,"B1"
"306","2.54242334027985",-1.759,"B1"
"307","2.55075915451027",-1.798,"B1"
"308","2.5590949687407",-1.935,"B1"
"309","2.56743078297112",-2.071,"B1"
"310","2.57576659720155",-2.168,"B1"
"311","2.58410241143197",-2.262,"B1"
"312","2.5924382256624",-2.337,"B1"
"313","2.60077403989283",-2.35,"B1"
"314","2.60910985412325",-2.326,"B1"
"315","2.61744566835368",-2.243,"B1"
"316","2.6257814825841",-2.14,"B1"
"317","2.63411729681453",-2.081,"B1"
"318","2.64245311104495",-2.055,"B1"
"319","2.65078892527538",-2.115,"B1"
"320","2.65912473950581",-2.159,"B1"
"321","2.66746055373623",-2.254,"B1"
"322","2.67579636796666",-2.357,"B1"
"323","2.68413218219708",-2.387,"B1"
"324","2.69246799642751",-2.417,"B1"
"325","2.70080381065793",-2.469,"B1"
"326","2.70913962488836",-2.424,"B1"
"327","2.71747543911879",-2.346,"B1"
"328","2.72581125334921",-2.258,"B1"
"329","2.73414706757964",-2.276,"B1"
"330","2.74248288181006",-2.331,"B1"
"331","2.75081869604049",-2.424,"B1"
"332","2.75915451027091",-2.521,"B1"
"333","2.76749032450134",-2.575,"B1"
"334","2.77582613873177",-2.575,"B1"
"335","2.78416195296219",-2.567,"B1"
"336","2.79249776719262",-2.509,"B1"
"337","2.80083358142304",-2.454,"B1"
"338","2.80916939565347",-2.444,"B1"
"339","2.81750520988389",-2.357,"B1"
"340","2.82584102411432",-2.206,"B1"
"341","2.83417683834475",-2.074,"B1"
"342","2.84251265257517",-1.927,"B1"
"343","2.8508484668056",-1.857,"B1"
"344","2.85918428103602",-1.82,"B1"
"345","2.86752009526645",-1.8,"B1"
"346","2.87585590949687",-1.8,"B1"
"347","2.8841917237273",-1.822,"B1"
"348","2.89252753795773",-1.779,"B1"
"349","2.90086335218815",-1.695,"B1"
"350","2.90919916641858",-1.687,"B1"
"351","2.917534980649",-1.72,"B1"
"352","2.92587079487943",-1.675,"B1"
"353","2.93420660910985",-1.605,"B1"
"354","2.94254242334028",-1.58,"B1"
"355","2.95087823757071",-1.503,"B1"
"356","2.95921405180113",-1.411,"B1"
"357","2.96754986603156",-1.362,"B1"
"358","2.97588568026198",-1.25,"B1"
"359","2.98422149449241",-1.167,"B1"
"360","2.99255730872283",-1.125,"B1"
"361","3.00089312295326",-1.095,"B1"
"362","3.00922893718369",-1.085,"B1"
"363","3.01756475141411",-1.072,"B1"
"364","3.02590056564454",-1.039,"B1"
"365","3.03423637987496",-1.05,"B1"
"366","3.04257219410539",-1.069,"B1"
"367","3.05090800833581",-1.077,"B1"
"368","3.05924382256624",-1.1,"B1"
"369","3.06757963679667",-1.067,"B1"
"370","3.07591545102709",-1.037,"B1"
"371","3.08425126525752",-1.067,"B1"
"372","3.09258707948794",-1.031,"B1"
"373","3.10092289371837",-0.978,"B1"
"374","3.10925870794879",-0.946,"B1"
"375","3.11759452217922",-0.929,"B1"
"376","3.12593033640965",-0.947,"B1"
"377","3.13426615064007",-0.937,"B1"
"378","3.1426019648705",-0.923,"B1"
"379","3.15093777910092",-0.829,"B1"
"380","3.15927359333135",-0.716,"B1"
"381","3.16760940756177",-0.603,"B1"
"382","3.1759452217922",-0.537,"B1"
"383","3.18428103602263",-0.532,"B1"
"384","3.19261685025305",-0.534,"B1"
"385","3.20095266448348",-0.55,"B1"
"386","3.2092884787139",-0.55,"B1"
"387","3.21762429294433",-0.571,"B1"
"388","3.22596010717475",-0.583,"B1"
"389","3.23429592140518",-0.685,"B1"
"390","3.24263173563561",-0.822,"B1"
"391","3.25096754986603",-0.888,"B1"
"392","3.25930336409646",-0.886,"B1"
"393","3.26763917832688",-0.878,"B1"
"394","3.27597499255731",-0.871,"B1"
"395","3.28431080678773",-0.797,"B1"
"396","3.29264662101816",-0.798,"B1"
"397","3.30098243524859",-0.8,"B1"
"398","3.30931824947901",-0.775,"B1"
"399","3.31765406370944",-0.727,"B1"
"400","3.32598987793986",-0.68,"B1"
"401","3.33432569217029",-0.69,"B1"
"402","3.34266150640071",-0.712,"B1"
"403","3.35099732063114",-0.725,"B1"
"404","3.35933313486157",-0.813,"B1"
"405","3.36766894909199",-0.842,"B1"
"406","3.37600476332242",-0.806,"B1"
"407","3.38434057755284",-0.775,"B1"
"408","3.39267639178327",-0.797,"B1"
"409","3.40101220601369",-0.831,"B1"
"410","3.40934802024412",-0.85,"B1"
"411","3.41768383447455",-0.862,"B1"
"412","3.42601964870497",-0.908,"B1"
"413","3.4343554629354",-0.927,"B1"
"414","3.44269127716582",-0.939,"B1"
"415","3.45102709139625",-1.003,"B1"
"416","3.45936290562667",-1.047,"B1"
"417","3.4676987198571",-1.021,"B1"
"418","3.47603453408753",-0.948,"B1"
"419","3.48437034831795",-0.849,"B1"
"420","3.49270616254838",-0.711,"B1"
"421","3.5010419767788",-0.638,"B1"
"422","3.50937779100923",-0.714,"B1"
"423","3.51771360523965",-0.768,"B1"
"424","3.52604941947008",-0.775,"B1"
"425","3.53438523370051",-0.775,"B1"
"426","3.54272104793093",-0.79,"B1"
"427","3.55105686216136",-0.759,"B1"
"428","3.55939267639178",-0.696,"B1"
"429","3.56772849062221",-0.673,"B1"
"430","3.57606430485263",-0.649,"B1"
"431","3.58440011908306",-0.625,"B1"
"432","3.59273593331349",-0.651,"B1"
"433","3.60107174754391",-0.675,"B1"
"434","3.60940756177434",-0.669,"B1"
"435","3.61774337600476",-0.747,"B1"
"436","3.62607919023519",-0.829,"B1"
"437","3.63441500446561",-0.829,"B1"
"438","3.64275081869604",-0.735,"B1"
"439","3.65108663292647",-0.684,"B1"
"440","3.65942244715689",-0.641,"B1"
"441","3.66775826138732",-0.541,"B1"
"442","3.67609407561774",-0.525,"B1"
"443","3.68442988984817",-0.525,"B1"
"444","3.6927657040786",-0.498,"B1"
"445","3.70110151830902",-0.454,"B1"
"446","3.70943733253945",-0.517,"B1"
"447","3.71777314676987",-0.608,"B1"
"448","3.7261089610003",-0.673,"B1"
"449","3.73444477523072",-0.675,"B1"
"450","3.74278058946115",-0.647,"B1"
"451","3.75111640369157",-0.625,"B1"
"452","3.759452217922",-0.659,"B1"
"453","3.76778803215243",-0.711,"B1"
"454","3.77612384638285",-0.712,"B1"
"455","3.78445966061328",-0.632,"B1"
"456","3.7927954748437",-0.43,"B1"
"457","3.80113128907413",-0.316,"B1"
"458","3.80946710330456",-0.28,"B1"
"459","3.81780291753498",-0.281,"B1"
"460","3.82613873176541",-0.346,"B1"
"461","3.83447454599583",-0.338,"B1"
"462","3.84281036022626",-0.305,"B1"
"463","3.85114617445668",-0.298,"B1"
"464","3.85948198868711",-0.281,"B1"
"465","3.86781780291754",-0.306,"B1"
"466","3.87615361714796",-0.279,"B1"
"467","3.88448943137839",-0.332,"B1"
"468","3.89282524560881",-0.412,"B1"
"469","3.90116105983924",-0.464,"B1"
"470","3.90949687406966",-0.444,"B1"
"471","3.91783268830009",-0.361,"B1"
"472","3.92616850253052",-0.309,"B1"
"473","3.93450431676094",-0.356,"B1"
"474","3.94284013099137",-0.478,"B1"
"475","3.95117594522179",-0.464,"B1"
"476","3.95951175945222",-0.379,"B1"
