"","Minutes","Intensity","Sample"
"116","0.958618636498958",-18.52,"STD1-1"
"117","0.966954450729384",-17.114,"STD1-1"
"118","0.97529026495981",-15.66,"STD1-1"
"119","0.983626079190235",-14.292,"STD1-1"
"120","0.991961893420661",-12.934,"STD1-1"
"121","1.00029770765109",-11.495,"STD1-1"
"122","1.00863352188151",-9.993,"STD1-1"
"123","1.01696933611194",-8.511,"STD1-1"
"124","1.02530515034236",-7.049,"STD1-1"
"125","1.03364096457279",-5.629,"STD1-1"
"126","1.04197677880322",-4.227,"STD1-1"
"127","1.05031259303364",-2.973,"STD1-1"
"128","1.05864840726407",-1.791,"STD1-1"
"129","1.06698422149449",-0.57,"STD1-1"
"130","1.07532003572492",0.582,"STD1-1"
"131","1.08365584995534",1.714,"STD1-1"
"132","1.09199166418577",2.813,"STD1-1"
"133","1.1003274784162",3.841,"STD1-1"
"134","1.10866329264662",4.716,"STD1-1"
"135","1.11699910687705",5.469,"STD1-1"
"136","1.12533492110747",6.104,"STD1-1"
"137","1.1336707353379",6.748,"STD1-1"
"138","1.14200654956832",7.385,"STD1-1"
"139","1.15034236379875",7.941,"STD1-1"
"140","1.15867817802918",8.412,"STD1-1"
"141","1.1670139922596",8.808,"STD1-1"
"142","1.17534980649003",9.124,"STD1-1"
"143","1.18368562072045",9.327,"STD1-1"
"144","1.19202143495088",9.407,"STD1-1"
"145","1.2003572491813",9.45,"STD1-1"
"146","1.20869306341173",9.439,"STD1-1"
"147","1.21702887764216",9.405,"STD1-1"
"148","1.22536469187258",9.336,"STD1-1"
"149","1.23370050610301",9.161,"STD1-1"
"150","1.24203632033343",8.864,"STD1-1"
"151","1.25037213456386",8.493,"STD1-1"
"152","1.25870794879428",8.094,"STD1-1"
"153","1.26704376302471",7.614,"STD1-1"
"154","1.27537957725514",7.118,"STD1-1"
"155","1.28371539148556",6.575,"STD1-1"
"156","1.29205120571599",5.898,"STD1-1"
"157","1.30038701994641",5.1,"STD1-1"
"158","1.30872283417684",4.247,"STD1-1"
"159","1.31705864840726",3.377,"STD1-1"
"160","1.32539446263769",2.526,"STD1-1"
"161","1.33373027686812",1.585,"STD1-1"
"162","1.34206609109854",0.654,"STD1-1"
"163","1.35040190532897",-0.3,"STD1-1"
"164","1.35873771955939",-1.276,"STD1-1"
"165","1.36707353378982",-2.226,"STD1-1"
"166","1.37540934802024",-3.275,"STD1-1"
"167","1.38374516225067",-4.374,"STD1-1"
"168","1.3920809764811",-5.469,"STD1-1"
"169","1.40041679071152",-6.566,"STD1-1"
"170","1.40875260494195",-7.688,"STD1-1"
"171","1.41708841917237",-8.75,"STD1-1"
"172","1.4254242334028",-9.769,"STD1-1"
"173","1.43376004763322",-10.717,"STD1-1"
"174","1.44209586186365",-11.639,"STD1-1"
"175","1.45043167609408",-12.645,"STD1-1"
"176","1.4587674903245",-13.598,"STD1-1"
"177","1.46710330455493",-14.527,"STD1-1"
"178","1.47543911878535",-15.572,"STD1-1"
"179","1.48377493301578",-16.599,"STD1-1"
"180","1.4921107472462",-17.584,"STD1-1"
"181","1.50044656147663",-18.479,"STD1-1"
"182","1.50878237570706",-19.284,"STD1-1"
"183","1.51711818993748",-20.09,"STD1-1"
"184","1.52545400416791",-20.828,"STD1-1"
"185","1.53378981839833",-21.515,"STD1-1"
"186","1.54212563262876",-22.21,"STD1-1"
"187","1.55046144685918",-22.99,"STD1-1"
"188","1.55879726108961",-23.82,"STD1-1"
"189","1.56713307532004",-24.633,"STD1-1"
"190","1.57546888955046",-25.366,"STD1-1"
"191","1.58380470378089",-26.021,"STD1-1"
