"","int"
"0",-0.034
"0.00833531864204884",0.012
"0.0166706372840977",-0.053
"0.0250059559261465",-0.143
"0.0333412745681954",-0.214
"0.0416765932102442",-0.246
"0.050011911852293",-0.228
"0.0583472304943419",-0.163
"0.0666825491363907",-0.097
"0.0750178677784396",-0.076
"0.0833531864204884",-0.095
"0.0916885050625372",-0.118
"0.100023823704586",-0.139
"0.108359142346635",-0.156
"0.116694460988684",-0.176
"0.125029779630733",-0.227
"0.133365098272781",-0.325
"0.14170041691483",-0.439
"0.150035735556879",-0.521
"0.158371054198928",-0.542
"0.166706372840977",-0.503
"0.175041691483026",-0.418
"0.183377010125074",-0.311
"0.191712328767123",-0.226
"0.200047647409172",-0.177
"0.208382966051221",-0.169
"0.21671828469327",-0.208
"0.225053603335319",-0.294
"0.233388921977367",-0.423
"0.241724240619416",-0.563
"0.250059559261465",-0.69
"0.258394877903514",-0.807
"0.266730196545563",-0.904
"0.275065515187612",-0.952
"0.283400833829661",-0.936
"0.291736152471709",-0.874
"0.300071471113758",-0.792
"0.308406789755807",-0.719
"0.316742108397856",-0.676
"0.325077427039905",-0.65
"0.333412745681954",-0.629
"0.341748064324002",-0.61
"0.350083382966051",-0.596
"0.3584187016081",-0.587
"0.366754020250149",-0.581
"0.375089338892198",-0.574
"0.383424657534247",-0.556
"0.391759976176295",-0.528
"0.400095294818344",-0.499
"0.408430613460393",-0.485
"0.416765932102442",-0.505
"0.425101250744491",-0.549
"0.43343656938654",-0.588
"0.441771888028588",-0.612
"0.450107206670637",-0.598
"0.458442525312686",-0.524
"0.466777843954735",-0.414
"0.475113162596784",-0.285
"0.483448481238833",-0.171
"0.491783799880882",-0.089
"0.50011911852293",-0.042
"0.508454437164979",-0.022
"0.516789755807028",-0.027
"0.525125074449077",-0.054
"0.533460393091126",-0.069
"0.541795711733175",-0.07
"0.550131030375223",-0.065
"0.558466349017272",-0.071
"0.566801667659321",-0.099
"0.57513698630137",-0.157
"0.583472304943419",-0.227
"0.591807623585468",-0.261
"0.600142942227516",-0.25
"0.608478260869565",-0.225
"0.616813579511614",-0.196
"0.625148898153663",-0.161
"0.633484216795712",-0.147
"0.641819535437761",-0.163
"0.650154854079809",-0.164
"0.658490172721858",-0.137
"0.666825491363907",-0.106
"0.675160810005956",-0.101
"0.683496128648005",-0.137
"0.691831447290054",-0.201
"0.700166765932102",-0.274
"0.708502084574151",-0.326
"0.7168374032162",-0.329
"0.725172721858249",-0.286
"0.733508040500298",-0.205
"0.741843359142347",-0.117
"0.750178677784396",-0.072
"0.758513996426444",-0.092
"0.766849315068493",-0.135
"0.775184633710542",-0.148
"0.783519952352591",-0.133
"0.79185527099464",-0.114
"0.800190589636689",-0.106
"0.808525908278737",-0.11
"0.816861226920786",-0.123
"0.825196545562835",-0.135
"0.833531864204884",-0.125
"0.841867182846933",-0.09
"0.850202501488982",-0.061
"0.85853782013103",-0.048
"0.866873138773079",-0.023
"0.875208457415128",0.036
"0.883543776057177",0.11
"0.891879094699226",0.169
"0.900214413341275",0.193
"0.908549731983323",0.189
"0.916885050625372",0.179
"0.925220369267421",0.164
"0.93355568790947",0.155
"0.941891006551519",0.146
"0.950226325193568",0.147
"0.958561643835616",0.168
"0.966896962477665",0.193
"0.975232281119714",0.189
"0.983567599761763",0.149
"0.991902918403812",0.078
"1.00023823704586",-0.008
"1.00857355568791",-0.078
"1.01690887432996",-0.124
"1.02524419297201",-0.14
"1.03357951161406",-0.119
"1.0419148302561",-0.062
"1.05025014889815",0
"1.0585854675402",0.046
"1.06692078618225",0.075
"1.0752561048243",0.1
"1.08359142346635",0.125
"1.0919267421084",0.14
"1.10026206075045",0.129
"1.1085973793925",0.1
"1.11693269803454",0.055
"1.12526801667659",0.008
"1.13360333531864",-0.013
"1.14193865396069",-0.002
"1.15027397260274",0.007
"1.15860929124479",-0.017
"1.16694460988684",-0.055
"1.17527992852889",-0.077
"1.18361524717094",-0.086
"1.19195056581298",-0.103
"1.20028588445503",-0.15
"1.20862120309708",-0.201
"1.21695652173913",-0.226
"1.22529184038118",-0.217
"1.23362715902323",-0.169
"1.24196247766528",-0.095
"1.25029779630733",-0.027
"1.25863311494937",0
"1.26696843359142",0.005
"1.27530375223347",0.023
"1.28363907087552",0.075
"1.29197438951757",0.142
"1.30030970815962",0.212
"1.30864502680167",0.269
"1.31698034544372",0.305
"1.32531566408577",0.313
"1.33365098272781",0.277
"1.34198630136986",0.194
"1.35032162001191",0.102
"1.35865693865396",0.031
"1.36699225729601",-0.014
"1.37532757593806",-0.024
"1.38366289458011",-0.01
"1.39199821322216",0.008
"1.4003335318642",0.022
"1.40866885050625",0.045
"1.4170041691483",0.085
"1.42533948779035",0.135
"1.4336748064324",0.181
"1.44201012507445",0.214
"1.4503454437165",0.216
"1.45868076235855",0.18
"1.4670160810006",0.115
"1.47535139964264",0.037
"1.48368671828469",-0.044
"1.49202203692674",-0.115
"1.50035735556879",-0.194
"1.50869267421084",-0.247
"1.51702799285289",-0.246
"1.52536331149494",-0.194
"1.53369863013699",-0.113
"1.54203394877904",-0.026
"1.55036926742108",0.031
"1.55870458606313",0.045
"1.56703990470518",0.048
"1.57537522334723",0.076
"1.58371054198928",0.125
"1.59204586063133",0.168
"1.60038117927338",0.191
"1.60871649791543",0.195
"1.61705181655747",0.187
"1.62538713519952",0.186
"1.63372245384157",0.225
"1.64205777248362",0.279
"1.65039309112567",0.302
"1.65872840976772",0.278
"1.66706372840977",0.218
"1.67539904705182",0.121
"1.68373436569387",0
"1.69206968433591",-0.109
"1.70040500297796",-0.176
"1.70874032162001",-0.171
"1.71707564026206",-0.088
"1.72541095890411",0.03
"1.73374627754616",0.153
"1.74208159618821",0.257
"1.75041691483026",0.317
"1.7587522334723",0.32
"1.76708755211435",0.281
"1.7754228707564",0.236
"1.78375818939845",0.194
"1.7920935080405",0.166
"1.80042882668255",0.149
"1.8087641453246",0.141
"1.81709946396665",0.142
"1.8254347826087",0.152
"1.83377010125074",0.164
"1.84210541989279",0.176
"1.85044073853484",0.189
"1.85877605717689",0.203
"1.86711137581894",0.214
"1.87544669446099",0.194
"1.88378201310304",0.147
"1.89211733174509",0.122
"1.90045265038714",0.144
"1.90878796902918",0.183
"1.91712328767123",0.204
"1.92545860631328",0.21
"1.93379392495533",0.21
"1.94212924359738",0.218
"1.95046456223943",0.261
"1.95879988088148",0.35
"1.96713519952353",0.447
"1.97547051816557",0.545
"1.98380583680762",0.634
"1.99214115544967",0.708
"2.00047647409172",0.765
"2.00881179273377",0.79
"2.01714711137582",0.759
"2.02548243001787",0.699
"2.03381774865992",0.652
"2.04215306730197",0.631
"2.05048838594401",0.623
"2.05882370458606",0.617
"2.06715902322811",0.584
"2.07549434187016",0.504
"2.08382966051221",0.411
"2.09216497915426",0.346
"2.10050029779631",0.324
"2.10883561643836",0.313
"2.1171709350804",0.267
"2.12550625372245",0.164
"2.1338415723645",0.026
"2.14217689100655",-0.098
"2.1505122096486",-0.156
"2.15884752829065",-0.139
"2.1671828469327",-0.071
"2.17551816557475",0.033
"2.1838534842168",0.129
"2.19218880285884",0.186
"2.20052412150089",0.204
"2.20885944014294",0.232
"2.21719475878499",0.308
"2.22553007742704",0.412
"2.23386539606909",0.524
"2.24220071471114",0.619
"2.25053603335319",0.658
"2.25887135199524",0.623
"2.26720667063728",0.55
"2.27554198927933",0.46
"2.28387730792138",0.38
"2.29221262656343",0.329
"2.30054794520548",0.309
"2.30888326384753",0.307
"2.31721858248958",0.325
"2.32555390113163",0.366
"2.33388921977367",0.438
"2.34222453841572",0.54
"2.35055985705777",0.645
"2.35889517569982",0.727
"2.36723049434187",0.762
"2.37556581298392",0.743
"2.38390113162597",0.678
"2.39223645026802",0.605
"2.40057176891007",0.53
"2.40890708755211",0.468
