"","rt","int"
"1",0.01,200
"2",0.0183328371539149,56
"3",0.0266656743078297,49
"4",0.0349985114617446,130
"5",0.0433313486156594,218
"6",0.0516641857695743,221
"7",0.0599970229234891,139
"8",0.068329860077404,40
"9",0.0766626972313188,-98
"10",0.0849955343852337,-205
"11",0.0933283715391486,-209
"12",0.101661208693063,-137
"13",0.109994045846978,-32
"14",0.118326883000893,27
"15",0.126659720154808,53
"16",0.134992557308723,87
"17",0.143325394462638,122
"18",0.151658231616553,172
"19",0.159991068770467,127
"20",0.168323905924382,68
"21",0.176656743078297,52
"22",0.184989580232212,121
"23",0.193322417386127,214
"24",0.201655254540042,235
"25",0.209988091693957,225
"26",0.218320928847871,251
"27",0.226653766001786,296
"28",0.234986603155701,306
"29",0.243319440309616,328
"30",0.251652277463531,325
"31",0.259985114617446,279
"32",0.268317951771361,280
"33",0.276650788925275,332
"34",0.28498362607919,417
"35",0.293316463233105,467
"36",0.30164930038702,423
"37",0.309982137540935,375
"38",0.31831497469485,335
"39",0.326647811848765,275
"40",0.334980649002679,282
"41",0.343313486156594,331
"42",0.351646323310509,325
"43",0.359979160464424,415
"44",0.368311997618339,479
"45",0.376644834772254,528
"46",0.384977671926168,550
"47",0.393310509080083,530
"48",0.401643346233998,468
"49",0.409976183387913,409
"50",0.418309020541828,382
"51",0.426641857695743,312
"52",0.434974694849658,228
"53",0.443307532003573,141
"54",0.451640369157487,108
"55",0.459973206311402,114
"56",0.468306043465317,135
"57",0.476638880619232,144
"58",0.484971717773147,164
"59",0.493304554927062,174
"60",0.501637392080976,200
"61",0.509970229234891,134
"62",0.518303066388806,77
"63",0.526635903542721,73
"64",0.534968740696636,15
"65",0.543301577850551,-68
"66",0.551634415004466,-100
"67",0.559967252158381,-146
"68",0.568300089312295,-225
"69",0.57663292646621,-316
"70",0.584965763620125,-393
"71",0.59329860077404,-384
"72",0.601631437927955,-430
"73",0.60996427508187,-475
"74",0.618297112235784,-501
"75",0.626629949389699,-567
"76",0.634962786543614,-557
"77",0.643295623697529,-478
"78",0.651628460851444,-433
"79",0.659961298005359,-389
"80",0.668294135159274,-350
"81",0.676626972313188,-353
"82",0.684959809467103,-358
"83",0.693292646621018,-410
"84",0.701625483774933,-418
"85",0.709958320928848,-402
"86",0.718291158082763,-414
"87",0.726623995236678,-444
"88",0.734956832390593,-414
"89",0.743289669544507,-426
"90",0.751622506698422,-464
"91",0.759955343852337,-525
"92",0.768288181006252,-646
"93",0.776621018160167,-772
"94",0.784953855314082,-859
"95",0.793286692467996,-866
"96",0.801619529621911,-808
"97",0.809952366775826,-800
"98",0.818285203929741,-806
"99",0.826618041083656,-766
"100",0.834950878237571,-750
"101",0.843283715391486,-733
"102",0.8516165525454,-581
"103",0.859949389699315,-460
"104",0.86828222685323,-435
"105",0.876615064007145,-382
"106",0.88494790116106,-350
"107",0.893280738314975,-371
"108",0.90161357546889,-385
"109",0.909946412622804,-381
"110",0.918279249776719,-329
"111",0.926612086930634,-325
"112",0.934944924084549,-221
"113",0.943277761238464,-39
"114",0.951610598392379,0
"115",0.959943435546294,-48
"116",0.968276272700208,-64
"117",0.976609109854123,-15
"118",0.984941947008038,0
"119",0.993274784161953,0
"120",1.00160762131587,0
"121",1.00994045846978,0
"122",1.0182732956237,-74
"123",1.02660613277761,-206
"124",1.03493896993153,-293
"125",1.04327180708544,-300
"126",1.05160464423936,-160
"127",1.05993748139327,-8
"128",1.06827031854719,129
"129",1.0766031557011,282
"130",1.08493599285502,276
"131",1.09326883000893,175
"132",1.10160166716285,57
"133",1.10993450431676,11
"134",1.11826734147068,0
"135",1.12660017862459,0
"136",1.13493301577851,8
"137",1.14326585293242,-13
"138",1.15159869008634,-100
"139",1.15993152724025,-172
"140",1.16826436439417,-200
"141",1.17659720154808,-229
"142",1.18493003870199,-253
"143",1.19326287585591,-288
"144",1.20159571300982,-313
