"","rt","int"
"1",0.01,-586
"2",0.0183328371539149,2
"3",0.0266656743078297,0
"4",0.0349985114617446,-35
"5",0.0433313486156594,-137
"6",0.0516641857695743,-357
"7",0.0599970229234891,-510
"8",0.068329860077404,-574
"9",0.0766626972313188,-543
"10",0.0849955343852337,-463
"11",0.0933283715391486,-361
"12",0.101661208693063,-278
"13",0.109994045846978,-187
"14",0.118326883000893,-76
"15",0.126659720154808,24
"16",0.134992557308723,150
"17",0.143325394462638,317
"18",0.151658231616553,495
"19",0.159991068770467,702
"20",0.168323905924382,860
"21",0.176656743078297,892
"22",0.184989580232212,875
"23",0.193322417386127,861
"24",0.201655254540042,875
"25",0.209988091693957,917
"26",0.218320928847871,904
"27",0.226653766001786,925
"28",0.234986603155701,973
"29",0.243319440309616,1083
"30",0.251652277463531,1123
"31",0.259985114617446,1189
"32",0.268317951771361,1315
"33",0.276650788925275,1449
"34",0.28498362607919,1555
"35",0.293316463233105,1620
"36",0.30164930038702,1682
"37",0.309982137540935,1685
"38",0.31831497469485,1721
"39",0.326647811848765,1827
"40",0.334980649002679,1983
"41",0.343313486156594,2069
"42",0.351646323310509,2058
"43",0.359979160464424,2023
"44",0.368311997618339,1988
"45",0.376644834772254,1959
"46",0.384977671926168,1826
"47",0.393310509080083,1759
"48",0.401643346233998,1772
"49",0.409976183387913,1775
"50",0.418309020541828,1766
"51",0.426641857695743,1775
"52",0.434974694849658,1775
"53",0.443307532003573,1743
"54",0.451640369157487,1677
"55",0.459973206311402,1611
"56",0.468306043465317,1525
"57",0.476638880619232,1485
"58",0.484971717773147,1395
"59",0.493304554927062,1317
"60",0.501637392080976,1242
"61",0.509970229234891,1073
"62",0.518303066388806,912
"63",0.526635903542721,838
"64",0.534968740696636,843
"65",0.543301577850551,882
"66",0.551634415004466,942
"67",0.559967252158381,967
"68",0.568300089312295,941
"69",0.57663292646621,919
"70",0.584965763620125,945
"71",0.59329860077404,1003
"72",0.601631437927955,1097
"73",0.60996427508187,1230
"74",0.618297112235784,1355
"75",0.626629949389699,1448
"76",0.634962786543614,1511
"77",0.643295623697529,1500
"78",0.651628460851444,1521
"79",0.659961298005359,1591
"80",0.668294135159274,1665
"81",0.676626972313188,1756
"82",0.684959809467103,1881
"83",0.693292646621018,2008
"84",0.701625483774933,2054
"85",0.709958320928848,2155
"86",0.718291158082763,2328
"87",0.726623995236678,2471
"88",0.734956832390593,2521
"89",0.743289669544507,2512
"90",0.751622506698422,2566
"91",0.759955343852337,2659
"92",0.768288181006252,2739
"93",0.776621018160167,2732
"94",0.784953855314082,2811
"95",0.793286692467996,2810
"96",0.801619529621911,2843
"97",0.809952366775826,2982
"98",0.818285203929741,3160
"99",0.826618041083656,3262
"100",0.834950878237571,3352
"101",0.843283715391486,3484
"102",0.8516165525454,3579
"103",0.859949389699315,3626
"104",0.86828222685323,3699
"105",0.876615064007145,3769
"106",0.88494790116106,3769
"107",0.893280738314975,3734
"108",0.90161357546889,3716
"109",0.909946412622804,3706
"110",0.918279249776719,3733
"111",0.926612086930634,3799
"112",0.934944924084549,3846
"113",0.943277761238464,3886
"114",0.951610598392379,3927
"115",0.959943435546294,3856
"116",0.968276272700208,3895
"117",0.976609109854123,4040
"118",0.984941947008038,4171
"119",0.993274784161953,4178
"120",1.00160762131587,4144
"121",1.00994045846978,4070
"122",1.0182732956237,3956
"123",1.02660613277761,3851
"124",1.03493896993153,3885
"125",1.04327180708544,3925
"126",1.05160464423936,3919
"127",1.05993748139327,3969
"128",1.06827031854719,4016
"129",1.0766031557011,4035
"130",1.08493599285502,4093
"131",1.09326883000893,4210
"132",1.10160166716285,4325
"133",1.10993450431676,4350
"134",1.11826734147068,4316
"135",1.12660017862459,4223
"136",1.13493301577851,4173
"137",1.14326585293242,4063
"138",1.15159869008634,3987
"139",1.15993152724025,3950
"140",1.16826436439417,3999
"141",1.17659720154808,4088
"142",1.18493003870199,4106
"143",1.19326287585591,4076
"144",1.20159571300982,3995
"145",1.20992855016374,3923
"146",1.21826138731765,3912
"147",1.22659422447157,3941
"148",1.23492706162548,4042
"149",1.2432598987794,4144
"150",1.25159273593331,4198
"151",1.25992557308723,4186
"152",1.26825841024114,4150
"153",1.27659124739506,4140
"154",1.28492408454897,4046
"155",1.29325692170289,3952
"156",1.3015897588568,3941
"157",1.30992259601072,3995
"158",1.31825543316463,4064
"159",1.32658827031855,4095
"160",1.33492110747246,4058
"161",1.34325394462638,4050
"162",1.35158678178029,4064
"163",1.35991961893421,4145
"164",1.36825245608812,4173
"165",1.37658529324204,4174
"166",1.38491813039595,4175
"167",1.39325096754987,4205
"168",1.40158380470378,4277
"169",1.4099166418577,4411
"170",1.41824947901161,4564
"171",1.42658231616553,4791
"172",1.43491515331944,4920
"173",1.44324799047336,4960
"174",1.45158082762727,5039
"175",1.45991366478119,5144
"176",1.4682465019351,5259
"177",1.47657933908901,5321
"178",1.48491217624293,5302
"179",1.49324501339684,5396
"180",1.50157785055076,5558
"181",1.50991068770467,5709
"182",1.51824352485859,5873
"183",1.5265763620125,6034
"184",1.53490919916642,6099
"185",1.54324203632033,6087
"186",1.55157487347425,5992
"187",1.55990771062816,5898
"188",1.56824054778208,5805
"189",1.57657338493599,5731
"190",1.58490622208991,5655
"191",1.59323905924382,5693
"192",1.60157189639774,5770
"193",1.60990473355165,5823
"194",1.61823757070557,5821
"195",1.62657040785948,5816
"196",1.6349032450134,5902
"197",1.64323608216731,6028
"198",1.65156891932123,6071
"199",1.65990175647514,6088
"200",1.66823459362906,6082
"201",1.67656743078297,6026
"202",1.68490026793689,5981
"203",1.6932331050908,5893
"204",1.70156594224472,5853
"205",1.70989877939863,5809
"206",1.71823161655255,5771
"207",1.72656445370646,5717
"208",1.73489729086038,5572
"209",1.74323012801429,5417
"210",1.7515629651682,5350
"211",1.75989580232212,5361
"212",1.76822863947603,5414
"213",1.77656147662995,5448
"214",1.78489431378386,5497
"215",1.79322715093778,5551
"216",1.80155998809169,5621
"217",1.80989282524561,5656
"218",1.81822566239952,5665
"219",1.82655849955344,5625
"220",1.83489133670735,5523
"221",1.84322417386127,5362
"222",1.85155701101518,5305
"223",1.8598898481691,5315
"224",1.86822268532301,5382
"225",1.87655552247693,5375
"226",1.88488835963084,5279
"227",1.89322119678476,5162
"228",1.90155403393867,5137
"229",1.90988687109259,5160
"230",1.9182197082465,5213
"231",1.92655254540042,5278
"232",1.93488538255433,5330
"233",1.94321821970825,5394
"234",1.95155105686216,5425
"235",1.95988389401608,5442
"236",1.96821673116999,5548
"237",1.97654956832391,5670
"238",1.98488240547782,5731
"239",1.99321524263174,5796
"240",2.00154807978565,5858
"241",2.00988091693957,6028
"242",2.01821375409348,6150
"243",2.02654659124739,6170
"244",2.03487942840131,6131
"245",2.04321226555522,6138
"246",2.05154510270914,6175
"247",2.05987793986305,6175
"248",2.06821077701697,6187
"249",2.07654361417088,6278
"250",2.0848764513248,6390
"251",2.09320928847871,6567
"252",2.10154212563263,6704
"253",2.10987496278654,6725
"254",2.11820779994046,6787
"255",2.12654063709437,6928
"256",2.13487347424829,7069
"257",2.1432063114022,7117
"258",2.15153914855612,7174
"259",2.15987198571003,7228
"260",2.16820482286395,7285
"261",2.17653766001786,7306
"262",2.18487049717178,7291
"263",2.19320333432569,7216
"264",2.20153617147961,7238
"265",2.20986900863352,7287
"266",2.21820184578744,7306
"267",2.22653468294135,7378
"268",2.23486752009527,7462
"269",2.24320035724918,7557
"270",2.2515331944031,7644
"271",2.25986603155701,7657
"272",2.26819886871093,7614
"273",2.27653170586484,7563
"274",2.28486454301876,7568
"275",2.29319738017267,7603
"276",2.30153021732659,7646
"277",2.3098630544805,7608
"278",2.31819589163441,7587
"279",2.32652872878833,7618
"280",2.33486156594224,7565
"281",2.34319440309616,7479
"282",2.35152724025007,7482
"283",2.35986007740399,7525
"284",2.3681929145579,7521
"285",2.37652575171182,7573
"286",2.38485858886573,7600
"287",2.39319142601965,7600
"288",2.40152426317356,7603
"289",2.40985710032748,7625
"290",2.41818993748139,7579
"291",2.42652277463531,7465
"292",2.43485561178922,7331
"293",2.44318844894314,7298
"294",2.45152128609705,7241
"295",2.45985412325097,7141
"296",2.46818696040488,7074
"297",2.4765197975588,7032
"298",2.48485263471271,7007
"299",2.49318547186663,7035
"300",2.50151830902054,7014
"301",2.50985114617446,6949
"302",2.51818398332837,6900
"303",2.52651682048229,6858
"304",2.5348496576362,6791
"305",2.54318249479012,6739
"306",2.55151533194403,6728
"307",2.55984816909795,6744
"308",2.56818100625186,6786
"309",2.57651384340578,6839
"310",2.58484668055969,6850
"311",2.5931795177136,6867
"312",2.60151235486752,6914
"313",2.60984519202143,6960
"314",2.61817802917535,7023
"315",2.62651086632926,7103
"316",2.63484370348318,7216
"317",2.64317654063709,7352
"318",2.65150937779101,7472
"319",2.65984221494492,7611
"320",2.66817505209884,7740
"321",2.67650788925275,7903
"322",2.68484072640667,8007
"323",2.69317356356058,8025
"324",2.7015064007145,8025
"325",2.70983923786841,8061
"326",2.71817207502233,8142
"327",2.72650491217624,8257
"328",2.73483774933016,8368
"329",2.74317058648407,8448
"330",2.75150342363799,8574
"331",2.7598362607919,8679
"332",2.76816909794582,8803
"333",2.77650193509973,8941
"334",2.78483477225365,9087
"335",2.79316760940756,9213
"336",2.80150044656148,9304
"337",2.80983328371539,9392
"338",2.81816612086931,9522
"339",2.82649895802322,9553
"340",2.83483179517714,9481
"341",2.84316463233105,9433
"342",2.85149746948497,9425
"343",2.85983030663888,9420
"344",2.8681631437928,9319
"345",2.87649598094671,9196
"346",2.88482881810063,9138
"347",2.89316165525454,9072
"348",2.90149449240845,9046
"349",2.90982732956237,8978
"350",2.91816016671628,8865
"351",2.9264930038702,8767
"352",2.93482584102411,8779
"353",2.94315867817803,8761
"354",2.95149151533194,8686
"355",2.95982435248586,8583
"356",2.96815718963977,8550
"357",2.97649002679369,8550
"358",2.9848228639476,8582
"359",2.99315570110152,8607
"360",3.00148853825543,8571
"361",3.00982137540935,8545
"362",3.01815421256326,8572
"363",3.02648704971718,8619
"364",3.03481988687109,8588
"365",3.04315272402501,8538
"366",3.05148556117892,8435
"367",3.05981839833284,8401
"368",3.06815123548675,8400
"369",3.07648407264067,8412
"370",3.08481690979458,8423
"371",3.0931497469485,8358
"372",3.10148258410241,8340
"373",3.10981542125633,8312
"374",3.11814825841024,8257
"375",3.12648109556416,8270
"376",3.13481393271807,8354
"377",3.14314676987199,8429
"378",3.1514796070259,8512
"379",3.15981244417982,8512
"380",3.16814528133373,8553
"381",3.17647811848764,8603
"382",3.18481095564156,8614
"383",3.19314379279547,8569
"384",3.20147662994939,8524
"385",3.2098094671033,8554
"386",3.21814230425722,8686
"387",3.22647514141113,8733
"388",3.23480797856505,8662
"389",3.24314081571896,8643
"390",3.25147365287288,8625
"391",3.25980649002679,8658
"392",3.26813932718071,8667
"393",3.27647216433462,8654
"394",3.28480500148854,8677
"395",3.29313783864245,8745
"396",3.30147067579637,8877
"397",3.30980351295028,8959
"398",3.3181363501042,9056
"399",3.32646918725811,9108
"400",3.33480202441203,9185
"401",3.34313486156594,9274
"402",3.35146769871986,9300
"403",3.35980053587377,9316
"404",3.36813337302769,9356
"405",3.3764662101816,9405
"406",3.38479904733552,9457
"407",3.39313188448943,9527
"408",3.40146472164335,9569
"409",3.40979755879726,9582
"410",3.41813039595118,9597
"411",3.42646323310509,9559
"412",3.43479607025901,9565
"413",3.44312890741292,9622
"414",3.45146174456684,9682
"415",3.45979458172075,9706
"416",3.46812741887467,9739
